Patches I haven't had time to look at up to and including -r723682:

r654728 | hausmann | 2007-04-17 06:44:36 +1000 (Tue, 17 Apr 2007) | 3 lines
r656728 | mlaurent | 2007-04-22 18:11:41 +1000 (Sun, 22 Apr 2007) | 2 lines
r656802 | mlaurent | 2007-04-22 22:03:30 +1000 (Sun, 22 Apr 2007) | 2 lines
r659421 | binner | 2007-04-30 18:22:18 +1000 (Mon, 30 Apr 2007) | 2 lines
r660565 | scripty | 2007-05-03 15:03:28 +1000 (Thu, 03 May 2007) | 1 line
r661101 | mueller | 2007-05-05 01:41:04 +1000 (Sat, 05 May 2007) | 2 lines
r664089 | scripty | 2007-05-13 16:01:58 +1000 (Sun, 13 May 2007) | 1 line
r664726 | dfaure | 2007-05-15 04:47:19 +1000 (Tue, 15 May 2007) | 2 lines
r669347 | scripty | 2007-05-29 15:16:09 +1000 (Tue, 29 May 2007) | 1 line
r669581 | dfaure | 2007-05-30 04:31:38 +1000 (Wed, 30 May 2007) | 2 lines
r671220 | mlaurent | 2007-06-04 17:44:15 +1000 (Mon, 04 Jun 2007) | 2 lines
r674005 | lunakl | 2007-06-12 01:21:45 +1000 (Tue, 12 Jun 2007) | 3 lines
r676134 | scripty | 2007-06-16 15:24:07 +1000 (Sat, 16 Jun 2007) | 1 line
r678711 | scripty | 2007-06-22 15:13:04 +1000 (Fri, 22 Jun 2007) | 1 line
r678982 | binner | 2007-06-23 03:51:04 +1000 (Sat, 23 Jun 2007) | 2 lines
r681735 | scripty | 2007-06-30 14:35:12 +1000 (Sat, 30 Jun 2007) | 1 line
r682260 | ilic | 2007-07-02 18:52:55 +1000 (Mon, 02 Jul 2007) | 2 lines
r686063 | winterz | 2007-07-11 00:11:49 +1000 (Wed, 11 Jul 2007) | 2 lines
r688270 | chehrlic | 2007-07-16 02:41:04 +1000 (Mon, 16 Jul 2007) | 1 line
r688683 | mgashler | 2007-07-17 01:49:29 +1000 (Tue, 17 Jul 2007) | 2 lines
r691222 | mlaurent | 2007-07-23 17:05:28 +1000 (Mon, 23 Jul 2007) | 2 lines
r692298 | pino | 2007-07-25 19:57:27 +1000 (Wed, 25 Jul 2007) | 2 lines
r692331 | pino | 2007-07-25 21:06:26 +1000 (Wed, 25 Jul 2007) | 2 lines
r695423 | scripty | 2007-08-02 14:55:35 +1000 (Thu, 02 Aug 2007) | 1 line
r695802 | mlaurent | 2007-08-03 09:54:14 +1000 (Fri, 03 Aug 2007) | 3 lines
r697007 | mlaurent | 2007-08-07 00:37:59 +1000 (Tue, 07 Aug 2007) | 2 lines
r699282 | winterz | 2007-08-13 01:25:06 +1000 (Mon, 13 Aug 2007) | 4 lines
r699407 | winterz | 2007-08-13 09:21:05 +1000 (Mon, 13 Aug 2007) | 4 lines
r699734 | winterz | 2007-08-14 09:56:10 +1000 (Tue, 14 Aug 2007) | 3 lines
r700200 | neundorf | 2007-08-15 13:19:35 +1000 (Wed, 15 Aug 2007) | 5 lines
r700633 | amth | 2007-08-16 13:24:38 +1000 (Thu, 16 Aug 2007) | 2 lines
r700833 | amth | 2007-08-17 01:28:21 +1000 (Fri, 17 Aug 2007) | 2 lines
r701202 | amth | 2007-08-18 01:52:06 +1000 (Sat, 18 Aug 2007) | 2 lines
r702203 | scripty | 2007-08-20 17:38:48 +1000 (Mon, 20 Aug 2007) | 1 line
r702385 | pino | 2007-08-21 00:20:24 +1000 (Tue, 21 Aug 2007) | 2 lines
r703340 | scripty | 2007-08-22 20:14:08 +1000 (Wed, 22 Aug 2007) | 1 line
r705110 | mosfet | 2007-08-27 17:38:34 +1000 (Mon, 27 Aug 2007) | 2 lines
r705612 | scripty | 2007-08-28 17:29:37 +1000 (Tue, 28 Aug 2007) | 1 line
r706209 | winterz | 2007-08-30 03:39:07 +1000 (Thu, 30 Aug 2007) | 9 lines
r707606 | mlaurent | 2007-09-02 22:34:33 +1000 (Sun, 02 Sep 2007) | 2 lines
r707606 | mlaurent | 2007-09-02 22:34:33 +1000 (Sun, 02 Sep 2007) | 2 lines
r709100 | pino | 2007-09-07 01:07:23 +1000 (Fri, 07 Sep 2007) | 2 lines
r709261 | pino | 2007-09-07 09:37:38 +1000 (Fri, 07 Sep 2007) | 2 lines
r711010 | dfaure | 2007-09-11 17:27:33 +1000 (Tue, 11 Sep 2007) | 2 lines
r711908 | scripty | 2007-09-13 15:55:31 +1000 (Thu, 13 Sep 2007) | 1 line
r714636 | scripty | 2007-09-20 15:45:54 +1000 (Thu, 20 Sep 2007) | 1 line
r716259 | chehrlic | 2007-09-24 21:01:03 +1000 (Mon, 24 Sep 2007) | 1 line
r719644 | ereslibre | 2007-10-02 01:10:42 +1000 (Tue, 02 Oct 2007) | 2 lines
r721735 | apaku | 2007-10-06 10:01:16 +1000 (Sat, 06 Oct 2007) | 2 lines
